IND_UUID,IND_NAME,DIM_GEO_CODE_TYPE,DIM_GEO_CODE_M49,GEO_NAME_SHORT,DIM_TIME_TYPE,DIM_TIME,RATE_PER_100_N
F8E084C,DTP3 immunization coverage (age 1),COUNTRY,300,Greece,YEAR,2002,92
F8E084C,DTP3 immunization coverage (age 1),COUNTRY,300,Greece,YEAR,2005,96
F8E084C,DTP3 immunization coverage (age 1),COUNTRY,300,Greece,YEAR,2001,91
F8E084C,DTP3 immunization coverage (age 1),COUNTRY,300,Greece,YEAR,2004,95
F8E084C,DTP3 immunization coverage (age 1),COUNTRY,300,Greece,YEAR,2000,89
F8E084C,DTP3 immunization coverage (age 1),COUNTRY,300,Greece,YEAR,2003,94
F8E084C,DTP3 immunization coverage (age 1),COUNTRY,300,Greece,YEAR,2009,99
F8E084C,DTP3 immunization coverage (age 1),COUNTRY,300,Greece,YEAR,2016,99
F8E084C,DTP3 immunization coverage (age 1),COUNTRY,300,Greece,YEAR,2023,95
F8E084C,DTP3 immunization coverage (age 1),COUNTRY,300,Greece,YEAR,2012,99
F8E084C,DTP3 immunization coverage (age 1),COUNTRY,300,Greece,YEAR,2008,99
F8E084C,DTP3 immunization coverage (age 1),COUNTRY,300,Greece,YEAR,2015,99
F8E084C,DTP3 immunization coverage (age 1),COUNTRY,300,Greece,YEAR,2019,99
F8E084C,DTP3 immunization coverage (age 1),COUNTRY,300,Greece,YEAR,2022,98
F8E084C,DTP3 immunization coverage (age 1),COUNTRY,300,Greece,YEAR,2007,99
F8E084C,DTP3 immunization coverage (age 1),COUNTRY,300,Greece,YEAR,2011,99
F8E084C,DTP3 immunization coverage (age 1),COUNTRY,300,Greece,YEAR,2014,99
F8E084C,DTP3 immunization coverage (age 1),COUNTRY,300,Greece,YEAR,2018,99
F8E084C,DTP3 immunization coverage (age 1),COUNTRY,300,Greece,YEAR,2021,99
F8E084C,DTP3 immunization coverage (age 1),COUNTRY,300,Greece,YEAR,2006,98
F8E084C,DTP3 immunization coverage (age 1),COUNTRY,300,Greece,YEAR,2010,99
F8E084C,DTP3 immunization coverage (age 1),COUNTRY,300,Greece,YEAR,2013,99
F8E084C,DTP3 immunization coverage (age 1),COUNTRY,300,Greece,YEAR,2017,99
F8E084C,DTP3 immunization coverage (age 1),COUNTRY,300,Greece,YEAR,2020,99
F8E084C,DTP3 immunization coverage (age 1),COUNTRY,620,Portugal,YEAR,2002,98
F8E084C,DTP3 immunization coverage (age 1),COUNTRY,620,Portugal,YEAR,2009,96
F8E084C,DTP3 immunization coverage (age 1),COUNTRY,620,Portugal,YEAR,2016,98
F8E084C,DTP3 immunization coverage (age 1),COUNTRY,620,Portugal,YEAR,2023,99
F8E084C,DTP3 immunization coverage (age 1),COUNTRY,620,Portugal,YEAR,2001,97
F8E084C,DTP3 immunization coverage (age 1),COUNTRY,620,Portugal,YEAR,2005,93
F8E084C,DTP3 immunization coverage (age 1),COUNTRY,620,Portugal,YEAR,2000,96
F8E084C,DTP3 immunization coverage (age 1),COUNTRY,620,Portugal,YEAR,2004,95
F8E084C,DTP3 immunization coverage (age 1),COUNTRY,620,Portugal,YEAR,2003,99
F8E084C,DTP3 immunization coverage (age 1),COUNTRY,620,Portugal,YEAR,2008,97
F8E084C,DTP3 immunization coverage (age 1),COUNTRY,620,Portugal,YEAR,2012,98
F8E084C,DTP3 immunization coverage (age 1),COUNTRY,620,Portugal,YEAR,2015,98
F8E084C,DTP3 immunization coverage (age 1),COUNTRY,620,Portugal,YEAR,2019,99
F8E084C,DTP3 immunization coverage (age 1),COUNTRY,620,Portugal,YEAR,2022,99
F8E084C,DTP3 immunization coverage (age 1),COUNTRY,620,Portugal,YEAR,2007,97
F8E084C,DTP3 immunization coverage (age 1),COUNTRY,620,Portugal,YEAR,2011,97
F8E084C,DTP3 immunization coverage (age 1),COUNTRY,620,Portugal,YEAR,2014,98
F8E084C,DTP3 immunization coverage (age 1),COUNTRY,620,Portugal,YEAR,2018,99
F8E084C,DTP3 immunization coverage (age 1),COUNTRY,620,Portugal,YEAR,2021,99
F8E084C,DTP3 immunization coverage (age 1),COUNTRY,620,Portugal,YEAR,2010,98
F8E084C,DTP3 immunization coverage (age 1),COUNTRY,620,Portugal,YEAR,2017,98
F8E084C,DTP3 immunization coverage (age 1),COUNTRY,620,Portugal,YEAR,2024,99
F8E084C,DTP3 immunization coverage (age 1),COUNTRY,620,Portugal,YEAR,2006,97
F8E084C,DTP3 immunization coverage (age 1),COUNTRY,620,Portugal,YEAR,2013,98
F8E084C,DTP3 immunization coverage (age 1),COUNTRY,620,Portugal,YEAR,2020,99
F8E084C,DTP3 immunization coverage (age 1),COUNTRY,752,Sweden,YEAR,2002,99
F8E084C,DTP3 immunization coverage (age 1),COUNTRY,752,Sweden,YEAR,2009,98
F8E084C,DTP3 immunization coverage (age 1),COUNTRY,752,Sweden,YEAR,2016,98
F8E084C,DTP3 immunization coverage (age 1),COUNTRY,752,Sweden,YEAR,2023,94
F8E084C,DTP3 immunization coverage (age 1),COUNTRY,752,Sweden,YEAR,2005,98
F8E084C,DTP3 immunization coverage (age 1),COUNTRY,752,Sweden,YEAR,2001,99
F8E084C,DTP3 immunization coverage (age 1),COUNTRY,752,Sweden,YEAR,2004,99
F8E084C,DTP3 immunization coverage (age 1),COUNTRY,752,Sweden,YEAR,2000,99
F8E084C,DTP3 immunization coverage (age 1),COUNTRY,752,Sweden,YEAR,2003,99
F8E084C,DTP3 immunization coverage (age 1),COUNTRY,752,Sweden,YEAR,2012,98
F8E084C,DTP3 immunization coverage (age 1),COUNTRY,752,Sweden,YEAR,2008,98
F8E084C,DTP3 immunization coverage (age 1),COUNTRY,752,Sweden,YEAR,2015,98
F8E084C,DTP3 immunization coverage (age 1),COUNTRY,752,Sweden,YEAR,2019,98
F8E084C,DTP3 immunization coverage (age 1),COUNTRY,752,Sweden,YEAR,2022,94
F8E084C,DTP3 immunization coverage (age 1),COUNTRY,752,Sweden,YEAR,2007,98
F8E084C,DTP3 immunization coverage (age 1),COUNTRY,752,Sweden,YEAR,2011,98
F8E084C,DTP3 immunization coverage (age 1),COUNTRY,752,Sweden,YEAR,2014,98
F8E084C,DTP3 immunization coverage (age 1),COUNTRY,752,Sweden,YEAR,2018,97
F8E084C,DTP3 immunization coverage (age 1),COUNTRY,752,Sweden,YEAR,2021,98
F8E084C,DTP3 immunization coverage (age 1),COUNTRY,752,Sweden,YEAR,2006,98
F8E084C,DTP3 immunization coverage (age 1),COUNTRY,752,Sweden,YEAR,2010,98
F8E084C,DTP3 immunization coverage (age 1),COUNTRY,752,Sweden,YEAR,2013,98
F8E084C,DTP3 immunization coverage (age 1),COUNTRY,752,Sweden,YEAR,2017,97
F8E084C,DTP3 immunization coverage (age 1),COUNTRY,752,Sweden,YEAR,2020,97
F8E084C,DTP3 immunization coverage (age 1),COUNTRY,752,Sweden,YEAR,2024,96
F8E084C,DTP3 immunization coverage (age 1),COUNTRY,724,Spain,YEAR,2002,98
F8E084C,DTP3 immunization coverage (age 1),COUNTRY,724,Spain,YEAR,2009,96
F8E084C,DTP3 immunization coverage (age 1),COUNTRY,724,Spain,YEAR,2016,97
F8E084C,DTP3 immunization coverage (age 1),COUNTRY,724,Spain,YEAR,2023,93
F8E084C,DTP3 immunization coverage (age 1),COUNTRY,724,Spain,YEAR,2005,96
F8E084C,DTP3 immunization coverage (age 1),COUNTRY,724,Spain,YEAR,2001,96
F8E084C,DTP3 immunization coverage (age 1),COUNTRY,724,Spain,YEAR,2000,95
F8E084C,DTP3 immunization coverage (age 1),COUNTRY,724,Spain,YEAR,2004,97
F8E084C,DTP3 immunization coverage (age 1),COUNTRY,724,Spain,YEAR,2003,98
F8E084C,DTP3 immunization coverage (age 1),COUNTRY,724,Spain,YEAR,2008,97
F8E084C,DTP3 immunization coverage (age 1),COUNTRY,724,Spain,YEAR,2012,96
F8E084C,DTP3 immunization coverage (age 1),COUNTRY,724,Spain,YEAR,2015,97
F8E084C,DTP3 immunization coverage (age 1),COUNTRY,724,Spain,YEAR,2019,95
F8E084C,DTP3 immunization coverage (age 1),COUNTRY,724,Spain,YEAR,2022,95
F8E084C,DTP3 immunization coverage (age 1),COUNTRY,724,Spain,YEAR,2007,96
F8E084C,DTP3 immunization coverage (age 1),COUNTRY,724,Spain,YEAR,2011,97
F8E084C,DTP3 immunization coverage (age 1),COUNTRY,724,Spain,YEAR,2014,97
F8E084C,DTP3 immunization coverage (age 1),COUNTRY,724,Spain,YEAR,2018,96
F8E084C,DTP3 immunization coverage (age 1),COUNTRY,724,Spain,YEAR,2021,93
F8E084C,DTP3 immunization coverage (age 1),COUNTRY,724,Spain,YEAR,2006,98
F8E084C,DTP3 immunization coverage (age 1),COUNTRY,724,Spain,YEAR,2010,97
F8E084C,DTP3 immunization coverage (age 1),COUNTRY,724,Spain,YEAR,2013,96
F8E084C,DTP3 immunization coverage (age 1),COUNTRY,724,Spain,YEAR,2017,95
F8E084C,DTP3 immunization coverage (age 1),COUNTRY,724,Spain,YEAR,2020,94
F8E084C,DTP3 immunization coverage (age 1),COUNTRY,724,Spain,YEAR,2024,94
